"","x"
"533",866102
"534",855257
"535",853002
"536",868479
"537",874650
"538",877594
"539",869952
"540",858959
"541",862973
"542",871925
"543",877476
"544",877662
"545",870669
"546",857039
"547",863794
"548",872842
"549",876879
"550",878377
"551",873010
"552",858883
"553",860946
"554",875733
"555",880015
"556",882112
"557",875695
"558",862731
"559",871143
"560",878739
"561",882805
"562",882996
"563",876150
"564",862429
"565",871472
"566",878788
"567",883674
"568",883937
"569",876880
"570",863670
"571",865931
"572",880897
"573",887319
"574",886010
"575",879691
"576",867062
"577",876718
"578",883787
"579",888998
"580",887095
"581",879461
"582",866523
"583",876246
"584",883697
"585",889475
"586",886565
"587",881231
"588",868400
"589",872081
"590",886641
"591",892801
"592",890507
"593",884635
"594",871590
"595",882646
"596",889701
"597",895254
"598",891420
"599",884914
"600",871096
"601",881972
"602",890360
"603",894768
"604",892574
"605",886426
"606",870718
"607",879634
"608",893660
"609",897541
"610",895809
"611",889106
"612",874992
"613",888394
"614",895302
"615",898032
"616",896297
"617",889083
"618",872633
"619",888113
"620",895836
"621",898857
"622",898276
"623",891177
"624",873834
"625",886693
"626",897156
"627",901692
"628",900531
"629",891562
"630",878347
"631",893944
"632",900012
"633",903543
"634",900501
"635",891476
"636",877348
"637",894025
"638",899916
"639",904348
"640",902135
"641",894071
"642",877585
"643",891634
"644",902141
"645",906475
"646",903284
"647",895886
"648",883150
"649",898331
"650",904723
"651",908265
"652",903518
"653",894918
"654",881636
"655",897997
"656",903793
"657",908193
"658",904087
"659",894144
"660",881012
"661",896596
"662",903804
"663",909453
"664",906623
"665",896845
"666",884804
"667",902744
"668",907235
"669",910817
"670",906294
"671",896374
"672",884013
"673",902079
"674",906321
"675",910759
"676",907379
"677",898503
"678",883483
"679",901585
"680",908546
"681",913025
"682",909925
"683",898771
"684",889224
"685",907496
"686",910353
"687",913520
"688",910640
"689",899293
"690",889043
"691",907432
"692",910238
"693",915283
"694",911399
"695",900457
"696",888446
"697",906919
"698",912106
"699",918792
"700",913820
"701",903125
"702",895172
"703",909336
"704",914854
"705",919205
"706",910990
"707",902169
"708",894737
"709",908916
"710",915095
"711",920543
"712",912726
"713",904285
"714",893047
"715",909331
"716",916214
"717",922722
"718",915239
"719",905765
"720",900183
"721",914105
"722",919032
"723",921399
"724",915526
"725",905428
"726",898174
"727",914149
"728",919350
"729",923104
"730",917043
"731",907889
"732",897000
"733",913948
"734",920311
"735",925667
"736",919106
"737",909638
"738",904161
"739",918780
"740",921730
"741",926697
"742",918852
"743",907369
"744",903532
"745",918587
"746",921752
"747",925799
"748",920967
"749",909979
"750",899606
"751",918376
"752",923635
"753",927248
"754",922400
"755",912139
"756",907054
"757",923830
"758",926667
"759",929208
"760",922144
"761",912197
"762",907517
"763",922067
"764",927042
"765",930130
"766",924127
"767",914146
"768",905244
"769",921874
"770",927732
"771",932032
"772",925334
"773",916958
"774",913074
"775",927192
"776",931160
"777",933231
"778",926017
"779",916476
"780",911325
"781",926159
"782",931710
"783",933574
"784",928362
"785",918175
"786",909133
"787",926325
"788",932144
"789",935381
"790",929538
"791",921005
"792",916811
"793",931151
"794",933397
"795",936753
"796",930700
"797",917503
"798",917530
"799",930165
"800",933469
"801",938939
"802",932677
"803",919803
"804",913948
"805",930152
"806",934624
"807",939812
"808",933844
"809",923351
"810",921630
"811",937262
"812",938637
"813",941702
"814",936005
"815",922879
"816",922264
"817",936083
"818",939307
"819",942811
"820",936817
"821",924011
"822",919309
"823",936133
"824",940544
"825",945941
"826",939699
"827",927813
"828",927864
"829",941864
"830",943781
"831",946886
"832",940317
"833",927319
"834",928650
"835",941571
"836",944693
"837",945712
"838",941652
"839",927911
"840",923434
"841",940020
"842",945391
"843",948530
"844",942610
"845",931260
"846",932529
"847",944372
"848",948221
"849",949659
"850",942793
"851",930726
"852",932980
"853",944452
"854",948836
"855",950777
"856",944396
"857",929659
